Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7251053,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
7281602,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
7281889,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
7282164,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
7282323,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7321271,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7331133,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7341208,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
7352420,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
7381662,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
7381830,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
7382107,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
7382383,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7421338,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7431295,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7441321,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
7451387,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
7481479,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
7481772,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
7481961,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
7482245,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7521441,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7531406,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7541404,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
7551447,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
7581550,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
7581845,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
7582120,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
7582309,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7621483,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7631431,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7641544,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
